Segments
100
,,Stap:segment,,,,,,
Frame,Sub Frame,RX,RY,RZ,TX,TY,TZ
,,deg,deg,deg,mm,mm,mm
330,0,45.6762,83.6788,-50.6298,17.857,-595.464,1327.88
331,0,43.1384,82.7549,-49.8918,1.60856,-600.126,1311.28
332,0,40.9232,82.0366,-49.4068,-14.3789,-605.451,1294.74
333,0,38.6994,80.994,-48.8122,-29.953,-611.24,1278.59
334,0,36.6092,79.6418,-48.0096,-45.1576,-617.615,1262.75
335,0,34.5427,78.1577,-46.9324,-59.8082,-624.481,1247.52
336,0,32.6502,76.7022,-45.5154,-73.8584,-631.713,1232.8
337,0,31.5235,74.7719,-43.1676,-87.2025,-639.433,1218.29
338,0,29.3737,75.6751,-44.1255,-99.4854,-649.444,1203.25
339,0,27.5042,72.0874,-41.0392,-111.048,-654.611,1191.74
340,0,24.6418,74.3374,-44.3337,-121.484,-664.626,1177.89
341,0,23.6381,69.7011,-39.6971,-130.703,-668.795,1168.86
342,0,22.564,71.2314,-41.2953,-138.894,-677.868,1156.97
343,0,22.437,67.1307,-37.0503,-146.656,-681.118,1150.15
344,0,21.5293,66.8642,-36.8054,-153.062,-686.316,1142.33
345,0,21.7902,65.5907,-35.3917,-158.928,-690.752,1135.25
346,0,21.0286,65.4614,-35.6424,-164.17,-695.019,1129.01
347,0,20.7173,64.7448,-34.9167,-168.771,-698.689,1123.84
348,0,19.7866,65.1132,-35.7433,-172.978,-702.299,1119.34
349,0,19.0656,65.3007,-36.1034,-176.769,-705.408,1115.5
350,0,18.9373,64.8925,-35.5083,-179.858,-708.127,1112.39
351,0,18.5159,64.9404,-35.8526,-182.85,-710.622,1109.47
352,0,17.9785,64.9886,-36.189,-185.273,-712.814,1107.09
353,0,18.0779,64.4498,-35.4032,-187.247,-714.404,1105.11
354,0,18.1589,63.9546,-34.6394,-188.94,-715.717,1103.91
355,0,18.2369,63.8474,-34.3472,-190.189,-716.573,1103.22
356,0,18.276,64.0469,-34.4461,-190.994,-717.098,1103.16
357,0,18.2429,64.529,-34.9283,-191.355,-717.219,1103.56
358,0,18.1877,65.1127,-35.558,-191.466,-717.213,1104.18
359,0,18.0478,65.8459,-36.3769,-191.384,-717.191,1104.79
360,0,18.0509,65.9328,-36.5175,-191.22,-717.131,1105.7
361,0,17.9936,66.1011,-36.7132,-190.96,-717.209,1106.49
362,0,18.0448,66.079,-36.7057,-190.756,-717.41,1107.4
363,0,18.5267,65.7178,-35.8554,-190.438,-717.334,1108.19
364,0,18.8825,65.693,-35.7947,-190.066,-717.382,1109.04
365,0,19.2674,65.669,-35.7053,-189.364,-717.268,1109.99
366,0,19.3656,65.8251,-35.999,-188.798,-717.274,1111.18
367,0,19.4481,66.0692,-36.0662,-187.962,-717.065,1112.2
368,0,19.5705,66.0466,-36.0094,-187.276,-717.095,1113.59
369,0,19.7547,66.1579,-35.9718,-186.761,-717.172,1114.74
370,0,19.8556,66.371,-35.973,-186.245,-717.31,1115.9
371,0,19.8586,66.5615,-36.0305,-185.536,-717.465,1117.17
372,0,19.9533,66.6338,-36.1591,-185.056,-717.606,1118.28
373,0,19.6507,66.9267,-36.4724,-184.258,-717.597,1119.49
374,0,20.0723,66.6354,-35.8169,-183.538,-717.611,1120.79
375,0,20.1917,66.9047,-35.9309,-182.937,-717.586,1122.08
376,0,20.3751,67.3279,-36.1386,-182.245,-717.437,1123.32
377,0,20.7505,67.3939,-36.1714,-181.494,-717.206,1124.71
378,0,20.8855,67.6113,-36.2601,-180.51,-716.824,1125.9
379,0,21.192,67.7161,-36.5309,-179.952,-716.923,1127.1
380,0,20.9349,68.1504,-37.1216,-179.44,-717.034,1128.08
381,0,20.5898,68.5505,-37.4215,-179.004,-717.162,1128.96
382,0,20.8343,68.1568,-36.7011,-178.785,-717.365,1129.8
383,0,20.9743,68.0936,-36.4314,-178.453,-717.49,1130.59
384,0,21.1263,68.0723,-36.2563,-177.986,-717.561,1131.52
385,0,21.3662,67.8563,-35.652,-176.989,-717.117,1132.46
386,0,21.2039,68.5329,-36.6288,-176.324,-716.985,1132.96
387,0,17.3789,72.7013,-43.4948,-175.195,-716.814,1133.89
388,0,17.4919,72.5874,-43.2898,-174.455,-716.59,1134.75
389,0,17.0918,73.0915,-44.0382,-173.874,-716.402,1135.64
390,0,19.819,70.6851,-39.8988,-173.638,-716.37,1136.18
391,0,19.801,70.9164,-40.1993,-173.18,-716.203,1137.06
392,0,19.6513,71.3545,-40.6206,-172.463,-715.99,1137.76
393,0,19.7861,71.3945,-40.6031,-171.85,-715.891,1138.4
394,0,19.8356,71.3292,-40.522,-171.417,-715.97,1139.05
395,0,20.2455,71.0098,-40.0324,-171.237,-716.316,1139.38
396,0,20.6853,70.4227,-39.0184,-170.934,-716.55,1139.74
397,0,21.3375,69.5696,-37.5131,-170.572,-716.681,1139.99
398,0,17.8514,73.1465,-43.0746,-169.886,-716.842,1140.58
399,0,22.1234,68.8616,-36.1364,-170.074,-717.109,1140.83
400,0,18.1929,73.0572,-42.5146,-169.038,-717.241,1141.81
